NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,備考
151,吉浦区民館,ヨシウラクミンカン,山口県大島郡周防大島町大字秋287-1,,,,,,,353051,山口県,周防大島町,,,,,,,,,,20(3.3㎡あたり1人),,,
152,秋老人憩の家（秋公民館）,アキロウジンイコイノイエ（アキコウミンカン）,山口県大島郡周防大島町大字秋462-1,,,,,,,353051,山口県,周防大島町,,,,,,,,,,50(3.3㎡あたり1人),,,
153,秋集荷場,アキシュウカジョウ,山口県大島郡周防大島町大字秋,,,,,,,353051,山口県,周防大島町,,,,,,,,,,30(3.3㎡あたり1人),,,
154,油良集荷場,ユラシュウカジョウ,山口県大島郡周防大島町大字油良530-1,,,,,,,353051,山口県,周防大島町,,,,,,,,,,50(3.3㎡あたり1人),,,
155,橘ふれあいかんころ楽園（旧油良小学校）,フレアイカンコロガクエン（キュウユラショウガッコウ）,山口県大島郡周防大島町大字油良506,,,,,,,353051,山口県,周防大島町,,,,,,,,,,115(3.3㎡あたり1人),,,
156,寿源寺,ジュゲンジ,山口県大島郡周防大島町大字油良587,,,,,,,353051,山口県,周防大島町,,,,,,,,,,35(3.3㎡あたり1人),,,
157,山口県たちばな園,ヤマグチケンタチバナエン,山口県大島郡周防大島町大字油良1020,,,,,,,353051,山口県,周防大島町,,,,,,,,,,80(3.3㎡あたり1人),,,
158,土居公民館,ドイコウミンカン,山口県大島郡周防大島町大字土居680-1,,,,,,,353051,山口県,周防大島町,,,,,,,,,,30(3.3㎡あたり1人),,,
159,日良居公民館・日良居出張所,ヒライコウミンカン・ヒライシュッチョウショ,山口県大島郡周防大島町大字土居1078-1,,,,,,,353051,山口県,周防大島町,,,,,,,,,,95(3.3㎡あたり1人),,,
160,日良居老人の家むつみ荘,ヒライロウジンノイエムツミソウ,山口県大島郡周防大島町大字土居1013-2,,,,,,,353051,山口県,周防大島町,,,,,,,,,,30(3.3㎡あたり1人),,,
161,JA山口大島日良居支所,ジェイエーヤマグチオオシマヒライシショ,山口県大島郡周防大島町大字土居738-1 ,,,,,,,353051,山口県,周防大島町,,,,,,,,,,70(3.3㎡あたり1人),,,
162,島中小学校,シマナカショウガッコウ,山口県大島郡周防大島町大字土居1300-4,,,,,,,353051,山口県,周防大島町,,,,,,,,,,165(3.3㎡あたり1人),,,
163,島中小学校　体育館,シマナカショウガッコウタイイクカン,山口県大島郡周防大島町大字土居1300-4,,,,,,,353051,山口県,周防大島町,,,,,,,,,,135(3.3㎡あたり1人),,,
164,周防大島町役場日良居庁舎,スオウオオシマチョウヤクバヒライチョウシャ,山口県大島郡周防大島町大字土居1325-1,,,,,,,353051,山口県,周防大島町,,,,,,,,,,30(3.3㎡あたり1人),,,
165,周防大島町日良居体育館,スオウオオシマチョウヒライタイイクカン,山口県大島郡周防大島町大字土居1325-1,,,,,,,353051,山口県,周防大島町,,,,,,,,,,100(3.3㎡あたり1人),,,
166,愛和苑,アイワエン,山口県大島郡周防大島町大字土居1465-1,,,,,,,353051,山口県,周防大島町,,,,,,,,,,50(3.3㎡あたり1人),,,
167,橘高齢者生活福祉センターしらとり苑,タチバナコウレイシャセイカツフクシセンターシラトリエン,山口県大島郡周防大島町大字日前1932-32,,,,,,,353051,山口県,周防大島町,,,,,,,,,,50(3.3㎡あたり1人),,,
168,山口県漁業協同組合日良居支所,ヤマグチケンギョギョウキョウドウクミアイヒライシショ,山口県大島郡周防大島町大字日前1950-3,,,,,,,353051,山口県,周防大島町,,,,,,,,,,5(3.3㎡あたり1人),,,
169,願行寺,ガンギョウジ,山口県大島郡周防大島町大字日前1967,,,,,,,353051,山口県,周防大島町,,,,,,,,,,30(3.3㎡あたり1人),,,
170,荘厳寺,ソウゴンジ,山口県大島郡周防大島町大字日前1992,,,,,,,353051,山口県,周防大島町,,,,,,,,,,30(3.3㎡あたり1人),,,
171,日前浜公民館（日前公民館）,ヒクマハマコウミンカン（ヒライコウミンカン）,山口県大島郡周防大島町大字日前1973,,,,,,,353051,山口県,周防大島町,,,,,,,,,,30(3.3㎡あたり1人),,,
172,西正寺,サイショウジ,山口県大島郡周防大島町大字日前472,,,,,,,353051,山口県,周防大島町,,,,,,,,,,15(3.3㎡あたり1人),,,
173,日前郷区民館,ヒクマゴウクミンカン,山口県大島郡周防大島町大字日前1726-1,,,,,,,353051,山口県,周防大島町,,,,,,,,,,20(3.3㎡あたり1人),,,
174,日前郷公民館,ヒクマゴウコウミンカン,山口県大島郡周防大島町大字日前1681,,,,,,,353051,山口県,周防大島町,,,,,,,,,,15(3.3㎡あたり1人),,,
175,日前郷集荷場,ヒクマゴウシュウカジョウ,山口県大島郡周防大島町大字日前1836-2,,,,,,,353051,山口県,周防大島町,,,,,,,,,,30(3.3㎡あたり1人),,,
176,長浜区民館,ナガハマクミンカン,山口県大島郡周防大島町大字日前2166,,,,,,,353051,山口県,周防大島町,,,,,,,,,,15(3.3㎡あたり1人),,,
177,浮島小学校,ウカシマショウガッコウ,山口県大島郡周防大島町大字浮島205-1,,,,,,,353051,山口県,周防大島町,,,,,,,,,,100(3.3㎡あたり1人),,,
178,浮島漁村センター,ウカシマギョソンセンター,山口県大島郡周防大島町大字浮島279-1,,,,,,,353051,山口県,周防大島町,,,,,,,,,,30(3.3㎡あたり1人),,,
179,浮島地区学習等供用施設,ウカシマチクガクシュウトウキョウショウシセツ,山口県大島郡周防大島町大字浮島492-4,,,,,,,353051,山口県,周防大島町,,,,,,,,,,10(3.3㎡あたり1人),,,
