trans_id,lang,translation
大下,en,Oshimo
大下,ko,오시모
大下,zh-cn,大下
大下,zh-tw,大下
久地境原,ja,久地境原
久地境原,ja-Hrkt,くちさかいばら
久地境原,en,Kuchi Sakaibara
久地境原,ko,구치 사카이바라
久地境原,zh-cn,久地境原
久地境原,zh-tw,久地境原
幸の神,ja,幸の神
幸の神,ja-Hrkt,さいのかみ
幸の神,en,Sainokami
幸の神,ko,사이노카미
幸の神,zh-cn,幸之神
幸の神,zh-tw,幸之神
中田口,ja,中田口
中田口,ja-Hrkt,なかたぐち
中田口,en,Nakata-guchi
中田口,ko,나카타 구치
中田口,zh-cn,中田口
中田口,zh-tw,中田口
久地魚切,ja,久地魚切
久地魚切,ja-Hrkt,くちうおきり
久地魚切,en,Kuchi Uokiri
久地魚切,ko,구치우오키리
久地魚切,zh-cn,久地鱼切
久地魚切,zh-tw,久地魚切
くすの木台下,ja,くすの木台下
くすの木台下,ja-Hrkt,くすのきだいしも
くすの木台下,en,Kusunokidai-shimo
くすの木台下,ko,구스노키다이 시모
くすの木台下,zh-cn,楠木台下
くすの木台下,zh-tw,楠木臺下
くすの木台中,ja,くすの木台中
くすの木台中,ja-Hrkt,くすのきだいなか
くすの木台中,en,Kusunokidai-naka
くすの木台中,ko,구스노키다이 나카
くすの木台中,zh-cn,楠木台中
くすの木台中,zh-tw,楠木臺中
くすの木台,ja,くすの木台
くすの木台,ja-Hrkt,くすのきだい
くすの木台,en,Kusunokidai
くすの木台,ko,구스노키다이
くすの木台,zh-cn,楠木台
くすの木台,zh-tw,楠木臺
海老園一丁目,ja,海老園一丁目
海老園一丁目,ja-Hrkt,かいろうえんいっちょうめ
海老園一丁目,en,Kairoen-itchome (Kairoen 1)
海老園一丁目,ko,가이로엔 1초메
海老園一丁目,zh-cn,海老园一丁目
海老園一丁目,zh-tw,海老園一丁目
下萩原,ja,下萩原
下萩原,ja-Hrkt,しもはぎはら
下萩原,en,Shimo-hagiwara
下萩原,ko,시모하기와라
下萩原,zh-cn,下萩原
下萩原,zh-tw,下萩原
中萩原,ja,中萩原
中萩原,ja-Hrkt,なかはぎはら
中萩原,en,Naka-hagiwara
中萩原,ko,나카 하기와라
中萩原,zh-cn,中萩原
中萩原,zh-tw,中萩原
上萩原,ja,上萩原
上萩原,ja-Hrkt,かみはぎはら
上萩原,en,Kami-hagiwara
上萩原,ko,가미 하기와라
上萩原,zh-cn,上萩原
