service_id,date,exception_type
月曜日運行,20250602,1
月曜日運行,20250609,1
月曜日運行,20250616,1
月曜日運行,20250623,1
月曜日運行,20250630,1
月曜日運行,20250707,1
月曜日運行,20250714,1
月曜日運行,20250728,1
月曜日運行,20250804,1
月曜日運行,20250818,1
月曜日運行,20250825,1
月曜日運行,20250901,1
月曜日運行,20250908,1
月曜日運行,20250922,1
月曜日運行,20250929,1
火・金曜日運行,20250401,1
火・金曜日運行,20250404,1
火・金曜日運行,20250408,1
火・金曜日運行,20250411,1
火・金曜日運行,20250415,1
火・金曜日運行,20250418,1
火・金曜日運行,20250422,1
火・金曜日運行,20250425,1
火・金曜日運行,20250502,1
火・金曜日運行,20250509,1
火・金曜日運行,20250513,1
火・金曜日運行,20250516,1
火・金曜日運行,20250520,1
火・金曜日運行,20250523,1
火・金曜日運行,20250527,1
火・金曜日運行,20250530,1
火・金曜日運行,20250603,1
火・金曜日運行,20250606,1
火・金曜日運行,20250610,1
火・金曜日運行,20250613,1
火・金曜日運行,20250617,1
火・金曜日運行,20250620,1
火・金曜日運行,20250624,1
火・金曜日運行,20250627,1
火・金曜日運行,20250701,1
火・金曜日運行,20250704,1
火・金曜日運行,20250708,1
火・金曜日運行,20250711,1
火・金曜日運行,20250715,1
火・金曜日運行,20250718,1
火・金曜日運行,20250722,1
火・金曜日運行,20250725,1
火・金曜日運行,20250729,1
火・金曜日運行,20250801,1
火・金曜日運行,20250805,1
火・金曜日運行,20250808,1
火・金曜日運行,20250812,1
火・金曜日運行,20250815,1
火・金曜日運行,20250819,1
火・金曜日運行,20250822,1
火・金曜日運行,20250826,1
火・金曜日運行,20250829,1
火・金曜日運行,20250902,1
火・金曜日運行,20250905,1
火・金曜日運行,20250909,1
火・金曜日運行,20250912,1
火・金曜日運行,20250916,1
火・金曜日運行,20250919,1
火・金曜日運行,20250926,1
火・金曜日運行,20250930,1
金曜日運行,20250404,1
金曜日運行,20250411,1
金曜日運行,20250418,1
金曜日運行,20250425,1
金曜日運行,20250502,1
金曜日運行,20250509,1
金曜日運行,20250516,1
金曜日運行,20250523,1
金曜日運行,20250530,1
金曜日運行,20250606,1
金曜日運行,20250613,1
金曜日運行,20250620,1
金曜日運行,20250627,1
金曜日運行,20250704,1
金曜日運行,20250711,1
金曜日運行,20250718,1
金曜日運行,20250725,1
金曜日運行,20250801,1
金曜日運行,20250808,1
金曜日運行,20250815,1
金曜日運行,20250822,1
金曜日運行,20250829,1
金曜日運行,20250905,1
金曜日運行,20250912,1
金曜日運行,20250919,1
金曜日運行,20250926,1
月・火・水曜日運行,20250401,1
月・火・水曜日運行,20250402,1
月・火・水曜日運行,20250407,1
月・火・水曜日運行,20250408,1
月・火・水曜日運行,20250409,1
月・火・水曜日運行,20250414,1
月・火・水曜日運行,20250415,1
